Id,Target,Flag_external
01f8c228-bbac-11e8-b2ba-ac1f6b6435d0,23,0
9d582254-bbca-11e8-b2bc-ac1f6b6435d0,5 7,0
fa8b0e78-bbb1-11e8-b2ba-ac1f6b6435d0,0 1,0
07410234-bbbd-11e8-b2ba-ac1f6b6435d0,0 18,0
3c1ad84e-bbaa-11e8-b2ba-ac1f6b6435d0,0,0
c6f59af2-bbb0-11e8-b2ba-ac1f6b6435d0,22,0
38005ed0-bbb1-11e8-b2ba-ac1f6b6435d0,0 1 2,0
b73c05ba-bbc9-11e8-b2bc-ac1f6b6435d0,0,0
c97fa566-bbc3-11e8-b2bc-ac1f6b6435d0,0,0
85c5a9b2-bbad-11e8-b2ba-ac1f6b6435d0,0 1,0
b275491c-bbb3-11e8-b2ba-ac1f6b6435d0,0 25,0
c300737a-bbad-11e8-b2ba-ac1f6b6435d0,0,0
61441_1394_E7_3,4 13 25,1
838d473c-bbbb-11e8-b2ba-ac1f6b6435d0,0 13 25,0
ac8b206e-bbb1-11e8-b2ba-ac1f6b6435d0,0 7,0
67970_1581_F9_4,12,1
21a961a2-bbc2-11e8-b2bb-ac1f6b6435d0,4,0
3e01ffa6-bbab-11e8-b2ba-ac1f6b6435d0,6,0
47166_727_C10_3,0 12,1
3c0151fa-bbbc-11e8-b2ba-ac1f6b6435d0,2,0
31788be4-bbb8-11e8-b2ba-ac1f6b6435d0,25,0
34126_971_C12_4,0 11,1
833e53b6-bbbb-11e8-b2ba-ac1f6b6435d0,0 21,0
60227_1772_B5_4,26 25,1
e3345e34-bbbe-11e8-b2ba-ac1f6b6435d0,12 25,0
d048f956-bbc3-11e8-b2bc-ac1f6b6435d0,25,0
12542_102_C3_2,6,1
71744_1435_E11_1,6,1
13ade088-bb9e-11e8-b2b9-ac1f6b6435d0,0 25,0
186419e0-bbb1-11e8-b2ba-ac1f6b6435d0,0 21 1,0
0ddad448-bbaa-11e8-b2ba-ac1f6b6435d0,0 25,0
5c1201b6-bbc5-11e8-b2bc-ac1f6b6435d0,18,0
d057684c-bb9b-11e8-b2b9-ac1f6b6435d0,11,0
2fce7e30-bba3-11e8-b2b9-ac1f6b6435d0,25,0
b237f188-bba5-11e8-b2ba-ac1f6b6435d0,0 25,0
a6e13046-bbba-11e8-b2ba-ac1f6b6435d0,0 21,0
268e705e-bb9a-11e8-b2b9-ac1f6b6435d0,4 25,0
2f06327e-bbbf-11e8-b2ba-ac1f6b6435d0,0,0
fe2d2d16-bbbd-11e8-b2ba-ac1f6b6435d0,21 6,0
e58ff162-bbc2-11e8-b2bc-ac1f6b6435d0,0 21 7,0
9087_49_E5_2,6,1
76d39e2c-bbbd-11e8-b2ba-ac1f6b6435d0,3,0
8845d1ce-bbbe-11e8-b2ba-ac1f6b6435d0,5 25,0
2b57eabc-bbbc-11e8-b2ba-ac1f6b6435d0,21,0
3e45a5d0-bba6-11e8-b2ba-ac1f6b6435d0,0,0
54c39610-bbb9-11e8-b2ba-ac1f6b6435d0,0 1,0
916199a2-bb9e-11e8-b2b9-ac1f6b6435d0,0 25,0
2c4661ea-bb9b-11e8-b2b9-ac1f6b6435d0,14,0
ed71a524-bbb8-11e8-b2ba-ac1f6b6435d0,4 25,0
73b84122-bb9d-11e8-b2b9-ac1f6b6435d0,19 25,0
93fb94ac-bb9d-11e8-b2b9-ac1f6b6435d0,6,0
36561_410_A12_2,14 25,1
15b8a06e-bbbe-11e8-b2ba-ac1f6b6435d0,25,0
f2ba4dac-bbc1-11e8-b2bb-ac1f6b6435d0,5,0
70f2abbc-bba7-11e8-b2ba-ac1f6b6435d0,0 2,0
42899_1070_H4_1,0 11 25 2,1
7c366792-bbb7-11e8-b2ba-ac1f6b6435d0,12,0
2dbf7772-bb9c-11e8-b2b9-ac1f6b6435d0,7,0
12077_1659_H5_10,5 6,1
8e9eccaa-bba6-11e8-b2ba-ac1f6b6435d0,0 3,0
f9237882-bbc4-11e8-b2bc-ac1f6b6435d0,0 3,0
f9e1fd08-bba5-11e8-b2ba-ac1f6b6435d0,5 25,0
043225a2-bbc0-11e8-b2bb-ac1f6b6435d0,0 13,0
da051050-bbc9-11e8-b2bc-ac1f6b6435d0,23,0
b94c6f8a-bbc3-11e8-b2bc-ac1f6b6435d0,19 2,0
349eb3d4-bba4-11e8-b2b9-ac1f6b6435d0,21 19 1 25,0
76f5e26c-bbbc-11e8-b2ba-ac1f6b6435d0,14 25,0
32050_377_A9_2,21 6,1
21125_180_A9_2,6,1
546d55f4-bba8-11e8-b2ba-ac1f6b6435d0,25,0
278da2e6-bbad-11e8-b2ba-ac1f6b6435d0,0,0
40234_418_A11_1,14,1
96eb4174-bbae-11e8-b2ba-ac1f6b6435d0,3 25,0
b352ed0c-bb9b-11e8-b2b9-ac1f6b6435d0,0,0
f5e87f28-bbc9-11e8-b2bc-ac1f6b6435d0,4,0
59700_1382_E8_1,0 24,1
b3a6e510-bbb9-11e8-b2ba-ac1f6b6435d0,16 25,0
52515_1416_E6_1,11,1
dbba79f6-bb99-11e8-b2b9-ac1f6b6435d0,0,0
22103c40-bbba-11e8-b2ba-ac1f6b6435d0,5,0
16508_132_B2_1,21 6 7,1
e008561e-bbbb-11e8-b2ba-ac1f6b6435d0,17 25 18,0
39370_569_C12_3,14,1
17aa1460-bbab-11e8-b2ba-ac1f6b6435d0,6,0
2ddea64a-bbc6-11e8-b2bc-ac1f6b6435d0,0,0
3a51cf8e-bb9d-11e8-b2b9-ac1f6b6435d0,5,0
da2608d6-bbac-11e8-b2ba-ac1f6b6435d0,5,0
5789870a-bbb5-11e8-b2ba-ac1f6b6435d0,23,0
e56d3fbc-bbba-11e8-b2ba-ac1f6b6435d0,1,0
da4eceaa-bba3-11e8-b2b9-ac1f6b6435d0,0 7,0
d46a1b14-bbbe-11e8-b2ba-ac1f6b6435d0,0 7,0
34caa79c-bba3-11e8-b2b9-ac1f6b6435d0,1 25,0
06e7c562-bba3-11e8-b2b9-ac1f6b6435d0,0 25,0
93fccf8a-bbba-11e8-b2ba-ac1f6b6435d0,0,0
4b747c22-bbb5-11e8-b2ba-ac1f6b6435d0,3 7,0
f3d2b450-bbc0-11e8-b2bb-ac1f6b6435d0,4 25,0
28823_281_D8_8,14 25,1
5c653208-bbb8-11e8-b2ba-ac1f6b6435d0,14,0
002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,7,0
97c90600-bbbb-11e8-b2ba-ac1f6b6435d0,7,0
b131c7b2-bb9d-11e8-b2b9-ac1f6b6435d0,0,0
da971fd6-bba6-11e8-b2ba-ac1f6b6435d0,5 0 13,0
47100_711_A6_3,6 25 2,1
10880_953_F3_2,14,1
b53be98a-bba9-11e8-b2ba-ac1f6b6435d0,0,0
4e8ad25a-bbb3-11e8-b2ba-ac1f6b6435d0,11,0
db0f6688-bbb7-11e8-b2ba-ac1f6b6435d0,12,0
2925_24_B9_2,21 25 12,1
56a82b42-bbca-11e8-b2bc-ac1f6b6435d0,0,0
2fda9fbc-bbc1-11e8-b2bb-ac1f6b6435d0,0 3,0
bfaff2ea-bba8-11e8-b2ba-ac1f6b6435d0,0 2,0
5517b50c-bbc2-11e8-b2bb-ac1f6b6435d0,1,0
37085_624_G10_3,0 11 25,1
86f6ce52-bbca-11e8-b2bc-ac1f6b6435d0,0 2,0
5f9b3722-bbc4-11e8-b2bc-ac1f6b6435d0,18,0
358efa44-bbac-11e8-b2ba-ac1f6b6435d0,23,0
6b48855a-bbc6-11e8-b2bc-ac1f6b6435d0,0 25,0
b3fa54f6-bbb0-11e8-b2ba-ac1f6b6435d0,0,0
12000_96_G9_1,26 4,1
df00f6c6-bbb2-11e8-b2ba-ac1f6b6435d0,0 19,0
d3b6abd6-bbac-11e8-b2ba-ac1f6b6435d0,0 23 25,0
f7f1dcf6-bbba-11e8-b2ba-ac1f6b6435d0,0,0
8e4ab438-bbbc-11e8-b2ba-ac1f6b6435d0,0,0
f1051fd4-bbb0-11e8-b2ba-ac1f6b6435d0,7,0
d7e4b8d0-bbaf-11e8-b2ba-ac1f6b6435d0,4,0
62473_1408_E4_3,20,1
4947_1030_B8_3,0 21 22,1
8d40940c-bbaa-11e8-b2ba-ac1f6b6435d0,6 25,0
32967e42-bbc1-11e8-b2bb-ac1f6b6435d0,1 25,0
091cb016-bbc8-11e8-b2bc-ac1f6b6435d0,0 1 2,0
9f2b6d46-bb9f-11e8-b2b9-ac1f6b6435d0,18,0
11924_104_C8_2,6,1
c022e12a-bbca-11e8-b2bc-ac1f6b6435d0,5 25,0
ab2578e0-bbc6-11e8-b2bc-ac1f6b6435d0,21,0
ea02c2ec-bbae-11e8-b2ba-ac1f6b6435d0,0 19 25,0
f116c1b4-bbb3-11e8-b2ba-ac1f6b6435d0,0 24,0
b8271026-bbbc-11e8-b2ba-ac1f6b6435d0,11,0
550ed920-bbb1-11e8-b2ba-ac1f6b6435d0,0,0
26522_1660_F5_2,12,1
fed0a594-bbaa-11e8-b2ba-ac1f6b6435d0,25,0
ca437242-bbbf-11e8-b2bb-ac1f6b6435d0,3 25 7,0
16d0b820-bba4-11e8-b2b9-ac1f6b6435d0,19 13 25,0
4e580aa0-bba9-11e8-b2ba-ac1f6b6435d0,5,0
cb945c42-bba1-11e8-b2b9-ac1f6b6435d0,17 0,0
ef378da6-bbbd-11e8-b2ba-ac1f6b6435d0,0 25,0
19114_152_C6_3,11,1
42028_489_A10_1,0 14,1
62733_1522_F10_3,6,1
af6d2402-bbad-11e8-b2ba-ac1f6b6435d0,0 25 18,0
5ba49aea-bbb1-11e8-b2ba-ac1f6b6435d0,0 2,0
41164_420_G4_2,0 26,1
702143de-bbab-11e8-b2ba-ac1f6b6435d0,0 21 14,0
92f1f0b2-bbc3-11e8-b2bc-ac1f6b6435d0,11,0
36ca052a-bbbb-11e8-b2ba-ac1f6b6435d0,0 1,0
d05fe750-bbc4-11e8-b2bc-ac1f6b6435d0,0,0
14845_134_H10_2,6,1
54510_873_G11_1,6 25,1
b235f60c-bbb5-11e8-b2ba-ac1f6b6435d0,0 1,0
b3d6b02e-bbb9-11e8-b2ba-ac1f6b6435d0,21 25,0
a5d6de0a-bb9a-11e8-b2b9-ac1f6b6435d0,5 0 15,0
fcde8c06-bbb4-11e8-b2ba-ac1f6b6435d0,14,0
78fc7a22-bba7-11e8-b2ba-ac1f6b6435d0,5 0 16,0
a93b47fe-bbca-11e8-b2bc-ac1f6b6435d0,0 25,0
8a76c376-bbab-11e8-b2ba-ac1f6b6435d0,19 25,0
e49a5654-bba8-11e8-b2ba-ac1f6b6435d0,0 16,0
1ea985e4-bbb9-11e8-b2ba-ac1f6b6435d0,5 0,0
ffd2b880-bba8-11e8-b2ba-ac1f6b6435d0,0 3 25,0
55afe6c4-bbc7-11e8-b2bc-ac1f6b6435d0,0 21 7,0
c21a8ddc-bba4-11e8-b2ba-ac1f6b6435d0,0,0
76d59e9e-bbb7-11e8-b2ba-ac1f6b6435d0,23,0
13705_1584_C6_1,6 2,1
d80ef194-bbb5-11e8-b2ba-ac1f6b6435d0,2,0
5096a54e-bbb6-11e8-b2ba-ac1f6b6435d0,0,0
3371_37_G9_1,6 25,1
e5f71f2e-bbb6-11e8-b2ba-ac1f6b6435d0,12 19,0
63777_1395_B1_5,13,1
c2851636-bbac-11e8-b2ba-ac1f6b6435d0,5,0
9ff912ea-bbb4-11e8-b2ba-ac1f6b6435d0,21 25,0
cd4fb44e-bbc6-11e8-b2bc-ac1f6b6435d0,25,0
314dd05a-bbb0-11e8-b2ba-ac1f6b6435d0,2 14 25,0
40181_418_B11_2,0 21 23 13,1
51159_1372_D9_3,11,1
4d7baf0a-bbb9-11e8-b2ba-ac1f6b6435d0,4 2,0
23863_394_A7_2,14,1
15642_126_G10_1,12 25,1
3c675782-bb9b-11e8-b2b9-ac1f6b6435d0,0,0
28985_366_C3_1,21 11 25,1
5d8c5f6a-bb9c-11e8-b2b9-ac1f6b6435d0,5,0
0e7093dc-bba2-11e8-b2b9-ac1f6b6435d0,4,0
d945a11c-bba5-11e8-b2ba-ac1f6b6435d0,5,0
95c5fc6e-bbb1-11e8-b2ba-ac1f6b6435d0,4,0
43637_1137_D7_2,0 22,1
fb71e77a-bbbc-11e8-b2ba-ac1f6b6435d0,5 25,0
48873_1313_C10_2,14,1
10803_49_C12_2,6,1
51496_1681_F5_4,16,1
69250de8-bba8-11e8-b2ba-ac1f6b6435d0,19,0
9dfefcfc-bba0-11e8-b2b9-ac1f6b6435d0,6 25,0
8a803934-bbaf-11e8-b2ba-ac1f6b6435d0,0 23,0
7bfee5b6-bbb1-11e8-b2ba-ac1f6b6435d0,0 25,0
e76e108a-bbc3-11e8-b2bc-ac1f6b6435d0,5,0
58151ecc-bb9d-11e8-b2b9-ac1f6b6435d0,5,0
7450f188-bbb1-11e8-b2ba-ac1f6b6435d0,0,0
438ddc4e-bb9a-11e8-b2b9-ac1f6b6435d0,11,0
57c12c30-bba3-11e8-b2b9-ac1f6b6435d0,0,0
38268_898_G2_6,18,1
be371c32-bbc0-11e8-b2bb-ac1f6b6435d0,2,0
13132_1749_H2_31,6,1
f99b2e04-bba1-11e8-b2b9-ac1f6b6435d0,5,0
8ec3507e-bb9d-11e8-b2b9-ac1f6b6435d0,0 25,0
35283_1635_H4_31,22,1
2a67da00-bbb1-11e8-b2ba-ac1f6b6435d0,21,0
a3560a70-bbc2-11e8-b2bc-ac1f6b6435d0,0 1 25,0
47886388-bba3-11e8-b2b9-ac1f6b6435d0,0 21 25,0
21125_181_A9_3,6,1
70923_1362_C4_6,0 16 14,1
9063f878-bba9-11e8-b2ba-ac1f6b6435d0,2,0
14137000-bbc7-11e8-b2bc-ac1f6b6435d0,3,0
42b1b622-bbbf-11e8-b2ba-ac1f6b6435d0,0 7,0
51209_824_F12_6,22,1
5684_9_B1_2,6 7,1
54350_1671_F2_2,18,1
30829_542_C6_1,6,1
50627_757_E10_7,12,1
994dc330-bbca-11e8-b2bc-ac1f6b6435d0,3,0
cdf860b0-bbaf-11e8-b2ba-ac1f6b6435d0,21,0
7a8a4908-bba9-11e8-b2ba-ac1f6b6435d0,14,0
ea5380e6-bb9b-11e8-b2b9-ac1f6b6435d0,1 25,0
01ba30e4-bbb6-11e8-b2ba-ac1f6b6435d0,0 16,0
b7b5879a-bbca-11e8-b2bc-ac1f6b6435d0,0,0
357d3c8c-bbb1-11e8-b2ba-ac1f6b6435d0,23,0
6a97ece2-bbb0-11e8-b2ba-ac1f6b6435d0,6,0
56080_919_G6_2,25 18,1
2f4692ae-bb9e-11e8-b2b9-ac1f6b6435d0,1 7,0
b541e9a6-bb9b-11e8-b2b9-ac1f6b6435d0,21 3,0
0ae59882-bbbd-11e8-b2ba-ac1f6b6435d0,25,0
8707_82_E2_2,6,1
ce3e11aa-bba5-11e8-b2ba-ac1f6b6435d0,3,0
0ab0e65c-bbbb-11e8-b2ba-ac1f6b6435d0,5 25,0
44823806-bb9b-11e8-b2b9-ac1f6b6435d0,0,0
e2121636-bba5-11e8-b2ba-ac1f6b6435d0,5 25,0
7cbfa5e8-bbad-11e8-b2ba-ac1f6b6435d0,0 7,0
6ab88dc0-bbb6-11e8-b2ba-ac1f6b6435d0,0 14,0
43ae2fe2-bbab-11e8-b2ba-ac1f6b6435d0,4,0
466b8370-bbc3-11e8-b2bc-ac1f6b6435d0,0 2,0
36090_1150_H4_7,13,1
ac353384-bbb1-11e8-b2ba-ac1f6b6435d0,3,0
b5a7ead0-bbaa-11e8-b2ba-ac1f6b6435d0,0 25,0
88ed7046-bbaa-11e8-b2ba-ac1f6b6435d0,0,0
5beb608c-bb99-11e8-b2b9-ac1f6b6435d0,6,0
05b9a21c-bba5-11e8-b2ba-ac1f6b6435d0,21,0
34994_373_A7_2,14,1
23e3fcc8-bbab-11e8-b2ba-ac1f6b6435d0,0 25,0
bffb6d5c-bbc5-11e8-b2bc-ac1f6b6435d0,0 25,0
91848b9e-bbb5-11e8-b2ba-ac1f6b6435d0,23,0
a8df3046-bbbf-11e8-b2bb-ac1f6b6435d0,0,0
12720_1752_C1_2_cr5804bfa7d57a4,6,1
dad90436-bbc0-11e8-b2bb-ac1f6b6435d0,25,0
700b5fc6-bbb3-11e8-b2ba-ac1f6b6435d0,23,0
3c59b0ae-bbb5-11e8-b2ba-ac1f6b6435d0,0,0
90849436-bbbb-11e8-b2ba-ac1f6b6435d0,0 25 18,0
f40ba13e-bbbb-11e8-b2ba-ac1f6b6435d0,5,0
2070df10-bbac-11e8-b2ba-ac1f6b6435d0,0 25,0
4dd7c974-bbc9-11e8-b2bc-ac1f6b6435d0,0 7,0
b27ee348-bbbb-11e8-b2ba-ac1f6b6435d0,0 3,0
47928_829_B10_2,6,1
5b114a64-bbbc-11e8-b2ba-ac1f6b6435d0,17 25 18,0
21376_148_F8_1,14,1
17955_1165_H1_6,25 18,1
28b50aaa-bbbd-11e8-b2ba-ac1f6b6435d0,0,0
b1853d4a-bbb4-11e8-b2ba-ac1f6b6435d0,0 23,0
140af116-bb9d-11e8-b2b9-ac1f6b6435d0,21 12,0
55161_1050_A1_2,6,1
61292406-bbaa-11e8-b2ba-ac1f6b6435d0,23,0
eeb3aa4a-bbb8-11e8-b2ba-ac1f6b6435d0,2,0
35c897fc-bbb3-11e8-b2ba-ac1f6b6435d0,2,0
30213_335_E9_1,21 4 22,1
d85149bc-bbbb-11e8-b2ba-ac1f6b6435d0,24,0
fc2fdc5c-bba9-11e8-b2ba-ac1f6b6435d0,0 23,0
31321_737_D12_2,0 22,1
5480_9_A1_1,0 6,1
41553_1742_C10_7_cr580491b910bdd,6 25,1
c77c67d0-bbc4-11e8-b2bc-ac1f6b6435d0,0 21 13 25,0
18337cc2-bba2-11e8-b2b9-ac1f6b6435d0,14,0
95c87a1c-bbbf-11e8-b2bb-ac1f6b6435d0,0 25,0
dd193e70-bbc3-11e8-b2bc-ac1f6b6435d0,16 25,0
57044816-bbc3-11e8-b2bc-ac1f6b6435d0,0 1,0
28120_1773_G11_9,0 16,1
588ec6b8-bbc1-11e8-b2bb-ac1f6b6435d0,7,0
81cc573c-bbc8-11e8-b2bc-ac1f6b6435d0,4 25,0
74545_1579_B2_2,6,1
46986_1368_F8_1,14,1
e61d09de-bbc3-11e8-b2bc-ac1f6b6435d0,11,0
09e5cbe0-bbaf-11e8-b2ba-ac1f6b6435d0,0,0
39593cbe-bbb8-11e8-b2ba-ac1f6b6435d0,0 21,0
2cd2c2d8-bb9c-11e8-b2b9-ac1f6b6435d0,0 7,0
c5afbc04-bbab-11e8-b2ba-ac1f6b6435d0,5,0
ac83064c-bba5-11e8-b2ba-ac1f6b6435d0,7,0
538af954-bba6-11e8-b2ba-ac1f6b6435d0,5 0,0
a91d88c6-bb99-11e8-b2b9-ac1f6b6435d0,0 21 1 7,0
fba0918e-bbac-11e8-b2ba-ac1f6b6435d0,2,0
069dcc6c-bbaa-11e8-b2ba-ac1f6b6435d0,0,0
51d2a37a-bbb3-11e8-b2ba-ac1f6b6435d0,5,0
13694_1587_G12_7,6,1
7bfee190-bba9-11e8-b2ba-ac1f6b6435d0,7,0
19467_235_G3_1,14 23,1
3a9abea2-bbc9-11e8-b2bc-ac1f6b6435d0,11,0
0b62f948-bbaa-11e8-b2ba-ac1f6b6435d0,13 2,0
08efb82a-bb9d-11e8-b2b9-ac1f6b6435d0,11 4,0
f93e8932-bba2-11e8-b2b9-ac1f6b6435d0,21,0
bd42e0ac-bb9f-11e8-b2b9-ac1f6b6435d0,7,0
35118_392_G10_4,25 18,1
ddf5c5ba-bba6-11e8-b2ba-ac1f6b6435d0,0 25,0
88f8093e-bbc8-11e8-b2bc-ac1f6b6435d0,2 25,0
18c06b7a-bbc3-11e8-b2bc-ac1f6b6435d0,0,0
3d94eabc-bba9-11e8-b2ba-ac1f6b6435d0,0 25,0
bc2fdbf6-bbb9-11e8-b2ba-ac1f6b6435d0,0,0
3c51d13e-bbb2-11e8-b2ba-ac1f6b6435d0,23,0
28ba778a-bbca-11e8-b2bc-ac1f6b6435d0,24,0
0ce8fcd2-bbc7-11e8-b2bc-ac1f6b6435d0,2,0
93c90bdc-bbba-11e8-b2ba-ac1f6b6435d0,19,0
23448_264_E5_1,14,1
bfce2d16-bbbf-11e8-b2bb-ac1f6b6435d0,3 23,0
85846a50-bbc7-11e8-b2bc-ac1f6b6435d0,0,0
837782d2-bbc8-11e8-b2bc-ac1f6b6435d0,21 23,0
b497bc74-bbc8-11e8-b2bc-ac1f6b6435d0,7,0
7b805df0-bba6-11e8-b2ba-ac1f6b6435d0,0,0
1a79eb0e-bbc2-11e8-b2bb-ac1f6b6435d0,2,0
37590_857_G12_3,25 18,1
816575ea-bbb8-11e8-b2ba-ac1f6b6435d0,17 14,0
6dd649da-bbbf-11e8-b2bb-ac1f6b6435d0,6,0
59995afa-bba8-11e8-b2ba-ac1f6b6435d0,0 23,0
ca716aac-bba2-11e8-b2b9-ac1f6b6435d0,0 23 2,0
31126_319_F5_1,13,1
5644fc6a-bbc6-11e8-b2bc-ac1f6b6435d0,5 25,0
6e549af6-bbba-11e8-b2ba-ac1f6b6435d0,7,0
38980_521_C12_3,14,1
cbb66724-bbc9-11e8-b2bc-ac1f6b6435d0,0,0
1390fd3e-bba7-11e8-b2ba-ac1f6b6435d0,7,0
aaf1c6e0-bbca-11e8-b2bc-ac1f6b6435d0,0 4,0
a9125fa6-bbbb-11e8-b2ba-ac1f6b6435d0,5 0,0
378fe4e6-bbbd-11e8-b2ba-ac1f6b6435d0,25,0
bd662804-bbb9-11e8-b2ba-ac1f6b6435d0,0 25,0
d0ac8294-bb9d-11e8-b2b9-ac1f6b6435d0,25,0
6852ec02-bba6-11e8-b2ba-ac1f6b6435d0,25,0
a0aa2470-bbca-11e8-b2bc-ac1f6b6435d0,19,0
fda1f984-bbb9-11e8-b2ba-ac1f6b6435d0,0 2,0
991ce44c-bbc8-11e8-b2bc-ac1f6b6435d0,0 25,0
